timestamp,x,y,z
1357599154863,297.0,-32.0,-3.0
1357599155053,297.0,-33.0,-4.0
1357599155268,297.0,-33.0,-3.0
1357599155482,297.0,-33.0,-4.0
1357599155696,297.0,-32.0,-4.0
1357599155911,297.0,-33.0,-4.0
1357599156548,297.0,-32.0,-4.0
1357599157407,297.0,-32.0,-3.0
1357599157411,297.0,-32.0,-4.0
1357599158222,297.0,-33.0,-4.0
1357599158222,297.0,-32.0,-4.0
1357599158222,297.0,-33.0,-4.0
1357599158222,304.0,-37.0,-7.0
1357599158594,304.0,-35.0,-8.0
1357599158612,296.0,-25.0,-10.0
1357599159381,272.0,-5.0,-2.0
1357599159383,262.0,-1.0,-0.0
1357599159386,267.0,-1.0,-0.0
1357599160165,268.0,-1.0,-0.0
1357599160836,269.0,-1.0,-1.0
1357599161029,269.0,-1.0,-0.0
1357599161911,270.0,-1.0,-0.0
1357599162303,270.0,-1.0,-1.0
1357599162509,270.0,-1.0,-0.0
1357599162972,271.0,-1.0,-0.0
1357599163384,286.0,-16.0,-5.0
1357599163711,302.0,-36.0,-5.0
1357599163787,317.0,-60.0,-9.0
1357599163995,328.0,-71.0,-13.0
1357599164217,315.0,-51.0,-10.0
1357599164423,301.0,-49.0,-6.0
1357599164631,310.0,-72.0,-5.0
1357599164921,314.0,-93.0,2.0
1357599165091,309.0,-97.0,6.0
1357599165269,310.0,-120.0,7.0
1357599165480,309.0,-133.0,8.0
1357599165700,297.0,-139.0,13.0
1357599165905,289.0,-149.0,11.0
1357599166116,275.0,-160.0,10.0
1357599166329,246.0,-172.0,9.0
1357599166551,211.0,-176.0,8.0
1357599166761,152.0,178.0,6.0
1357599166966,100.0,176.0,5.0
1357599167177,38.0,169.0,3.0
1357599167388,43.0,172.0,11.0
1357599167599,52.0,174.0,11.0
1357599167811,28.0,158.0,14.0
1357599168051,8.0,146.0,15.0
1357599168239,355.0,143.0,18.0
1357599168449,334.0,135.0,11.0
1357599168661,319.0,124.0,9.0
1357599168872,308.0,115.0,7.0
1357599169084,296.0,104.0,5.0
1357599169296,281.0,93.0,-2.0
1357599169519,276.0,71.0,-3.0
1357599169725,275.0,51.0,-5.0
1357599169932,279.0,32.0,-4.0
1357599170144,280.0,19.0,-4.0
1357599170355,289.0,1.0,-4.0
1357599170567,294.0,-9.0,-2.0
1357599170779,294.0,-10.0,-2.0
1357599171000,288.0,-11.0,-2.0
1357599171205,287.0,-15.0,-4.0
1357599171414,287.0,-14.0,-12.0
1357599171626,323.0,-14.0,-29.0
1357599171837,359.0,-16.0,-36.0
1357599172049,56.0,-7.0,-64.0
1357599172279,87.0,178.0,-82.0
1357599172477,93.0,-174.0,-59.0
1357599172686,101.0,-176.0,-42.0
1357599172898,105.0,-176.0,-24.0
1357599173110,114.0,-174.0,-26.0
1357599173322,114.0,-173.0,-17.0
1357599173540,150.0,178.0,-6.0
1357599173746,72.0,176.0,-0.0
1357599173958,84.0,176.0,5.0
1357599174169,107.0,172.0,35.0
1357599174381,129.0,175.0,64.0
1357599174593,146.0,5.0,84.0
1357599174812,172.0,0.0,74.0
1357599175019,172.0,-5.0,32.0
1357599175233,166.0,0.0,6.0
1357599175481,125.0,-17.0,-25.0
1357599175674,181.0,0.0,-0.0
1357599175867,218.0,-1.0,-1.0
1357599176088,240.0,-1.0,-0.0
1357599176293,252.0,-1.0,-1.0
1357599176504,258.0,-1.0,-1.0
1357599177179,259.0,-1.0,-1.0
1357599177781,264.0,-1.0,-1.0
1357599178202,264.0,-1.0,-0.0
1357599178424,264.0,-1.0,-1.0
1357599178631,265.0,-1.0,-1.0
1357599179261,264.0,-1.0,-1.0
1357599181176,264.0,-1.0,-0.0
1357599181387,264.0,-1.0,-1.0
1357599181599,263.0,-1.0,-1.0
1357599181810,263.0,-1.0,-0.0
1357599182045,263.0,-1.0,-1.0
1357599183934,264.0,-1.0,-1.0
1357599184569,264.0,-1.0,-0.0
1357599184795,264.0,-1.0,-1.0
1357599185841,264.0,-1.0,-0.0
1357599186065,264.0,-1.0,-1.0
1357599189448,263.0,-1.0,-0.0
1357599189875,263.0,-1.0,-1.0
1357599190085,263.0,-1.0,-0.0
1357599190297,263.0,-1.0,-1.0
1357599190509,263.0,-1.0,-0.0
1357599190721,263.0,-1.0,-1.0
1357599191782,263.0,-1.0,-0.0
1357599191993,263.0,-1.0,-1.0
1357599193902,263.0,-1.0,-0.0
1357599194113,263.0,-1.0,-1.0
1357599194537,263.0,-1.0,-0.0
1357599194755,263.0,-1.0,-1.0
1357599195808,263.0,-1.0,-0.0
1357599196027,263.0,-1.0,-1.0
1357599199413,263.0,-1.0,-0.0
1357599199638,263.0,-1.0,-1.0
1357599202384,263.0,-1.0,-0.0
1357599202596,263.0,-1.0,-1.0
1357599204509,263.0,-1.0,-0.0
1357599204935,263.0,-1.0,-1.0
1357599205149,262.0,0.0,-1.0
1357599205363,262.0,-1.0,-0.0
1357599205577,262.0,-1.0,-1.0
1357599205790,262.0,-1.0,-0.0
1357599206217,262.0,-1.0,-1.0
1357599206644,262.0,-1.0,-0.0
1357599207283,262.0,-1.0,-1.0
1357599208138,262.0,-1.0,-0.0
1357599208350,261.0,-1.0,-0.0
1357599208776,261.0,-1.0,-1.0
1357599208988,261.0,-1.0,-0.0
1357599209418,261.0,-1.0,-1.0
1357599209631,261.0,-1.0,-0.0
1357599209847,261.0,-1.0,-1.0
1357599210484,261.0,-1.0,-0.0
1357599210913,261.0,-1.0,-1.0
1357599212196,261.0,-1.0,-0.0
1357599212409,261.0,-1.0,-1.0
1357599212837,261.0,-1.0,-0.0
1357599213266,262.0,-1.0,-1.0
1357599213906,262.0,-1.0,-0.0
1357599214120,262.0,-1.0,-1.0
1357599214336,262.0,-1.0,-0.0
1357599214770,262.0,-1.0,-1.0
1357599214973,262.0,-1.0,-0.0
1357599215187,262.0,-1.0,-1.0
1357599215401,262.0,-1.0,-0.0
1357599215829,262.0,-1.0,-1.0
1357599216256,262.0,-1.0,-0.0
1357599216470,262.0,-1.0,-1.0
1357599217324,262.0,-1.0,-0.0
1357599217539,262.0,-1.0,-1.0
1357599217967,261.0,-1.0,-1.0
1357599218821,262.0,-1.0,-1.0
1357599221172,261.0,-1.0,-1.0
1357599223310,261.0,-1.0,-0.0
1357599223524,261.0,-1.0,-1.0
1357599226082,262.0,-1.0,-1.0
1357599226510,261.0,-1.0,-1.0
1357599227154,262.0,-1.0,-1.0
1357599228430,261.0,-1.0,-1.0
1357599229071,261.0,-1.0,-0.0
1357599229283,261.0,-1.0,-1.0
1357599229497,261.0,-1.0,-0.0
1357599229712,261.0,-1.0,-1.0
1357599231208,261.0,-1.0,-0.0
1357599231422,261.0,-1.0,-1.0
1357599233132,261.0,-1.0,-0.0
1357599233346,261.0,-1.0,-1.0
1357599233774,261.0,-1.0,-0.0
1357599233987,261.0,-1.0,-1.0
1357599235053,261.0,-1.0,-0.0
1357599235479,261.0,-1.0,-1.0
